Partners,Player_1,Player_2,Span,Inns,NO,Runs,High,Ave,Fifties,Hundreds
"DJ Bravo, RD Gaikwad",DJ Bravo, RD Gaikwad,2021-2021,1,0,39,39,39,0,0
"S Dube, V Shankar",S Dube, V Shankar,2025-2025,2,0,39,24,19.5,0,0
"MEK Hussey, JDP Oram",MEK Hussey, JDP Oram,2008-2008,2,0,39,39,19.5,0,0
"SM Curran, SR Watson",SM Curran, SR Watson,2020-2020,2,0,38,25,19,0,0
"MS Dhoni, JM Kemp",MS Dhoni, JM Kemp,2010-2010,1,0,38,38,38,0,0
"MEK Hussey, JA Morkel",MEK Hussey, JA Morkel,2011-2011,3,1,37,29,18.5,0,0
"ML Hayden, MEK Hussey",ML Hayden, MEK Hussey,2008-2010,3,0,36,31,12,0,0
"RA Jadeja, R Ravindra",RA Jadeja, R Ravindra,2025-2025,1,0,36,36,36,0,0
"JA Morkel, WP Saha",JA Morkel, WP Saha,2011-2011,1,1,36,36*,-,0,0
"S Badrinath, DJ Bravo",S Badrinath, DJ Bravo,2011-2013,3,2,35,16,35,0,0
"DJ Bravo, P Negi",DJ Bravo, P Negi,2015-2015,2,0,35,27,17.5,0,0
"SM Curran, R Ravindra",SM Curran, R Ravindra,2025-2025,2,0,35,26,17.5,0,0
"MS Dhoni, Joginder Sharma",MS Dhoni, Joginder Sharma,2009-2009,1,0,35,35,35,0,0
"MS Dhoni, SR Watson",MS Dhoni, SR Watson,2018-2020,4,0,35,20,8.75,0,0
"MS Dhoni, JDP Oram",MS Dhoni, JDP Oram,2008-2009,3,0,34,12,11.33,0,0
"RA Jadeja, SN Thakur",RA Jadeja, SN Thakur,2019-2024,4,1,34,28,11.33,0,0
"DJ Bravo, MJ Santner",DJ Bravo, MJ Santner,2019-2019,1,0,33,33,33,0,0
"RA Jadeja, M Manhas",RA Jadeja, M Manhas,2014-2014,2,0,33,27,16.5,0,0
"RA Jadeja, J Overton",RA Jadeja, J Overton,2025-2025,2,2,32,20*,-,0,0
"R Ashwin, M Manhas",R Ashwin, M Manhas,2014-2014,2,1,31,20*,31,0,0
"DP Conway, RV Uthappa",DP Conway, RV Uthappa,2022-2022,2,0,31,26,15.5,0,0
"A Flintoff, JA Morkel",A Flintoff, JA Morkel,2009-2009,2,0,31,17,15.5,0,0
"Harbhajan Singh, SK Raina",Harbhajan Singh, SK Raina,2018-2018,1,0,31,31,31,0,0
"SK Raina, WP Saha",SK Raina, WP Saha,2012-2013,2,0,31,22,15.5,0,0
"DL Chahar, F du Plessis",DL Chahar, F du Plessis,2018-2018,1,0,30,30,30,0,0
"DJ Hooda, R Ravindra",DJ Hooda, R Ravindra,2025-2025,2,0,30,18,15,0,0
"SW Billings, RA Jadeja",SW Billings, RA Jadeja,2018-2018,1,0,29,29,29,0,0
"SW Billings, AT Rayudu",SW Billings, AT Rayudu,2018-2019,3,0,28,17,9.33,0,0
"DJ Bravo, KM Jadhav",DJ Bravo, KM Jadhav,2018-2019,3,2,28,19,28,0,0
"SM Curran, AT Rayudu",SM Curran, AT Rayudu,2020-2020,2,0,28,27,14,0,0
"SM Curran, SN Thakur",SM Curran, SN Thakur,2020-2020,1,0,28,28,28,0,0
"F du Plessis, SN Thakur",F du Plessis, SN Thakur,2018-2018,1,1,27,27*,-,0,0
"DJ Bravo, DR Smith",DJ Bravo, DR Smith,2015-2015,1,0,26,26,26,0,0
"RA Jadeja, B Laughlin",RA Jadeja, B Laughlin,2013-2013,1,0,25,25,25,0,0
"RA Jadeja, M Vijay",RA Jadeja, M Vijay,2013-2013,2,0,25,24,12.5,0,0
"S Dube, A Kamboj",S Dube, A Kamboj,2025-2025,2,1,24,24*,24,0,0
"RA Jadeja, MM Sharma",RA Jadeja, MM Sharma,2013-2015,2,1,24,24*,24,0,0
"S Badrinath, MS Gony",S Badrinath, MS Gony,2008-2008,1,1,22,22*,-,0,0
"DL Chahar, RA Jadeja",DL Chahar, RA Jadeja,2018-2020,3,2,22,15*,22,0,0
"RA Jadeja, CH Morris",RA Jadeja, CH Morris,2013-2013,2,1,22,20*,22,0,0
"JA Morkel, S Tyagi",JA Morkel, S Tyagi,2010-2010,1,1,22,22*,-,0,0
"S Anirudha, R Ashwin",S Anirudha, R Ashwin,2010-2012,2,1,21,20,21,0,0
"GJ Bailey, SK Raina",GJ Bailey, SK Raina,2009-2010,2,0,21,19,10.5,0,0
"L Balaji, JA Morkel",L Balaji, JA Morkel,2009-2010,2,0,21,21,10.5,0,0
"DJ Bravo, Harbhajan Singh",DJ Bravo, Harbhajan Singh,2018-2018,1,0,21,21,21,0,0
"DP Conway, V Shankar",DP Conway, V Shankar,2025-2025,1,0,21,21,21,0,0
"F du Plessis, Harbhajan Singh",F du Plessis, Harbhajan Singh,2018-2018,1,0,21,21,21,0,0
"SB Jakati, M Muralidaran",SB Jakati, M Muralidaran,2009-2009,2,0,21,11,10.5,0,0
"JDP Oram, SK Raina",JDP Oram, SK Raina,2009-2009,2,0,21,17,10.5,0,0
"RD Gaikwad, MJ Santner",RD Gaikwad, MJ Santner,2022-2022,1,0,20,20,20,0,0
"RD Gaikwad, V Shankar",RD Gaikwad, V Shankar,2025-2025,1,0,20,20,20,0,0
"RD Gaikwad, BA Stokes",RD Gaikwad, BA Stokes,2023-2023,1,0,20,20,20,0,0
"MEK Hussey, PA Patel",MEK Hussey, PA Patel,2008-2008,1,0,20,20,20,0,0
"SM Curran, RD Gaikwad",SM Curran, RD Gaikwad,2020-2020,1,0,19,19,19,0,0
"DJ Mitchell, R Ravindra",DJ Mitchell, R Ravindra,2024-2024,1,0,19,19,19,0,0
"S Badrinath, SP Fleming",S Badrinath, SP Fleming,2008-2008,1,0,18,18,18,0,0
"MS Dhoni, SB Jakati",MS Dhoni, SB Jakati,2009-2011,2,1,18,18*,18,0,0
"MS Dhoni, B Laughlin",MS Dhoni, B Laughlin,2013-2013,1,0,18,18,18,0,0
"MS Dhoni, Noor Ahmad",MS Dhoni, Noor Ahmad,2025-2025,2,1,18,16*,18,0,0
"MEK Hussey, RA Jadeja",MEK Hussey, RA Jadeja,2013-2013,1,0,18,18,18,0,0
"RA Jadeja, V Shankar",RA Jadeja, V Shankar,2025-2025,2,1,18,9*,18,0,0
"KK Ahmed, DJ Hooda",KK Ahmed, DJ Hooda,2025-2025,1,0,17,17,17,0,0
"R Ashwin, S Badrinath",R Ashwin, S Badrinath,2010-2012,3,0,17,17,5.66,0,0
"SW Billings, SK Raina",SW Billings, SK Raina,2018-2018,2,0,17,17,8.5,0,0
"MS Dhoni, M Manhas",MS Dhoni, M Manhas,2014-2014,3,1,17,8*,8.5,0,0
"MM Ali, BA Stokes",MM Ali, BA Stokes,2023-2023,1,0,16,16,16,0,0
"R Ashwin, MM Sharma",R Ashwin, MM Sharma,2015-2015,2,1,16,14,16,0,0
"DJ Bravo, DL Chahar",DJ Bravo, DL Chahar,2018-2021,3,1,16,8*,8,0,0
"MS Dhoni, N Jagadeesan",MS Dhoni, N Jagadeesan,2022-2022,1,0,16,16,16,0,0
"MS Dhoni, A Kamboj",MS Dhoni, A Kamboj,2025-2025,2,1,16,11*,16,0,0
"MS Dhoni, CH Morris",MS Dhoni, CH Morris,2013-2013,2,1,16,15*,16,0,0
"MS Dhoni, Mukesh Choudhary",MS Dhoni, Mukesh Choudhary,2022-2022,1,0,16,16,16,0,0
"RD Gaikwad, SN Thakur",RD Gaikwad, SN Thakur,2021-2021,2,1,16,12*,16,0,0
"RA Jadeja, WP Saha",RA Jadeja, WP Saha,2012-2012,1,0,16,16,16,0,0
"AT Rayudu, DR Shorey",AT Rayudu, DR Shorey,2018-2018,1,0,16,16,16,0,0
"MJ Santner, RV Uthappa",MJ Santner, RV Uthappa,2022-2022,1,0,16,16,16,0,0
"MM Ali, AM Rahane",MM Ali, AM Rahane,2023-2023,1,0,15,15,15,0,0
"MS Dhoni, DJ Mitchell",MS Dhoni, DJ Mitchell,2024-2024,1,0,15,15,15,0,0
"MS Dhoni, MJ Santner",MS Dhoni, MJ Santner,2023-2024,2,1,15,15*,15,0,0
"MS Gony, SK Raina",MS Gony, SK Raina,2008-2008,1,0,15,15,15,0,0
"JM Kemp, SK Raina",JM Kemp, SK Raina,2010-2010,1,0,15,15,15,0,0
"DJ Mitchell, Sameer Rizvi",DJ Mitchell, Sameer Rizvi,2024-2024,1,0,15,15,15,0,0
"JA Morkel, SB Styris",JA Morkel, SB Styris,2011-2011,1,1,15,15*,-,0,0
"DR Shorey, M Vijay",DR Shorey, M Vijay,2019-2019,1,0,15,15,15,0,0
"R Ashwin, T Thushara",R Ashwin, T Thushara,2009-2010,2,0,14,10,7,0,0
"DL Chahar, SN Thakur",DL Chahar, SN Thakur,2019-2021,3,2,14,7,14,0,0
"TU Deshpande, RA Jadeja",TU Deshpande, RA Jadeja,2024-2024,1,0,14,14,14,0,0
"MS Dhoni, CJ Jordan",MS Dhoni, CJ Jordan,2022-2022,1,0,14,14,14,0,0
"RD Gaikwad, SK Raina",RD Gaikwad, SK Raina,2021-2021,2,0,14,10,7,0,0
"D Pretorius, Simarjeet Singh",D Pretorius, Simarjeet Singh,2022-2022,1,0,14,14,14,0,0
"DJ Bravo, MA Wood",DJ Bravo, MA Wood,2018-2018,1,0,13,13,13,0,0
"DL Chahar, SM Curran",DL Chahar, SM Curran,2020-2020,1,0,13,13,13,0,0
"MS Dhoni, DJ Hooda",MS Dhoni, DJ Hooda,2025-2025,1,0,13,13,13,0,0
"MS Gony, M Ntini",MS Gony, M Ntini,2008-2008,1,0,13,13,13,0,0
"RA Jadeja, SR Watson",RA Jadeja, SR Watson,2019-2019,1,0,13,13,13,0,0
"BB McCullum, P Negi",BB McCullum, P Negi,2015-2015,1,0,13,13,13,0,0
"R Ashwin, UM Patel",R Ashwin, UM Patel,2025-2025,1,0,12,12,12,0,0
"DE Bollinger, SB Jakati",DE Bollinger, SB Jakati,2010-2012,2,1,12,8,12,0,0
"D Brevis, DP Conway",D Brevis, DP Conway,2025-2025,1,0,12,12,12,0,0
"MS Dhoni, DR Smith",MS Dhoni, DR Smith,2014-2014,1,0,12,12,12,0,0
"RA Jadeja, JA Morkel",RA Jadeja, JA Morkel,2012-2012,3,0,12,7,4,0,0
"AT Rayudu, BA Stokes",AT Rayudu, BA Stokes,2023-2023,1,0,12,12,12,0,0
"S Anirudha, SP Fleming",S Anirudha, SP Fleming,2008-2008,1,0,11,11,11,0,0
"R Ashwin, CH Morris",R Ashwin, CH Morris,2013-2013,1,1,11,11*,-,0,0
"DJ Bravo, SM Curran",DJ Bravo, SM Curran,2021-2021,1,0,11,11,11,0,0
"DJ Bravo, BB McCullum",DJ Bravo, BB McCullum,2015-2015,1,1,11,11*,-,0,0
"DJ Bravo, CH Morris",DJ Bravo, CH Morris,2013-2013,1,1,11,11*,-,0,0
"MS Dhoni, AS Rajpoot",MS Dhoni, AS Rajpoot,2013-2013,1,0,11,11,11,0,0
"KM Jadhav, M Vijay",KM Jadhav, M Vijay,2019-2019,1,0,11,11,11,0,0
"MM Sharma, SN Thakur",MM Sharma, SN Thakur,2019-2019,1,1,11,11*,-,0,0
"Simarjeet Singh, M Theekshana",Simarjeet Singh, M Theekshana,2022-2022,1,1,11,11*,-,0,0
